Mutant Number,Operator Class,Killed by,Description
"
212,ROR,['101'],"==(int,int):>=(int,int):org.joda.time.Partial@with:482:value == getValue(index) |==> value >= getValue(index)
"
213,ROR,['101'],"==(int,int):FALSE(int,int):org.joda.time.Partial@with:482:value == getValue(index) |==> false
"
214,LVR,['101'],"NEG:0:org.joda.time.Partial@without:500:-1 |==> 0
"
215,LVR,['101'],"NEG:POS:org.joda.time.Partial@without:500:-1 |==> 1
"
216,ROR,['101'],"!=(int,int):<(int,int):org.joda.time.Partial@without:500:index != -1 |==> index < -1
"
217,ROR,[],"!=(int,int):>(int,int):org.joda.time.Partial@without:500:index != -1 |==> index > -1
"
218,ROR,['101'],"!=(int,int):TRUE(int,int):org.joda.time.Partial@without:500:index != -1 |==> true
"
219,LVR,['101'],"POS:0:org.joda.time.Partial@without:501:1 |==> 0
"
220,LVR,['101'],"POS:NEG:org.joda.time.Partial@without:501:1 |==> -1
"
221,AOR,['101'],"-(int,int):%(int,int):org.joda.time.Partial@without:501:size() - 1 |==> size() % 1
"
222,AOR,['101'],"-(int,int):*(int,int):org.joda.time.Partial@without:501:size() - 1 |==> size() * 1
"
223,AOR,['101'],"-(int,int):+(int,int):org.joda.time.Partial@without:501:size() - 1 |==> size() + 1
"
224,AOR,['101'],"-(int,int):/(int,int):org.joda.time.Partial@without:501:size() - 1 |==> size() / 1
"
225,LVR,['101'],"POS:0:org.joda.time.Partial@without:502:1 |==> 0
"
226,LVR,['101'],"POS:NEG:org.joda.time.Partial@without:502:1 |==> -1
"
227,AOR,['101'],"-(int,int):%(int,int):org.joda.time.Partial@without:502:size() - 1 |==> size() % 1
"
228,AOR,['101'],"-(int,int):*(int,int):org.joda.time.Partial@without:502:size() - 1 |==> size() * 1
"
229,AOR,['101'],"-(int,int):+(int,int):org.joda.time.Partial@without:502:size() - 1 |==> size() + 1
"
230,AOR,['101'],"-(int,int):/(int,int):org.joda.time.Partial@without:502:size() - 1 |==> size() / 1
"
231,LVR,['101'],"0:POS:org.joda.time.Partial@without:503:0 |==> 1
"
232,LVR,['101'],"0:NEG:org.joda.time.Partial@without:503:0 |==> -1
"
233,LVR,['101'],"0:POS:org.joda.time.Partial@without:503:0 |==> 1
"
234,LVR,['101'],"0:NEG:org.joda.time.Partial@without:503:0 |==> -1
"
235,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@without:503:System.arraycopy(iTypes, 0, newTypes, 0, index) |==> <NO-OP>
"
236,LVR,['101'],"POS:0:org.joda.time.Partial@without:504:1 |==> 0
"
237,LVR,['101'],"POS:NEG:org.joda.time.Partial@without:504:1 |==> -1
"
238,AOR,['101'],"+(int,int):%(int,int):org.joda.time.Partial@without:504:index + 1 |==> index % 1
"
239,AOR,['101'],"+(int,int):*(int,int):org.joda.time.Partial@without:504:index + 1 |==> index * 1
"
240,AOR,['101'],"+(int,int):-(int,int):org.joda.time.Partial@without:504:index + 1 |==> index - 1
"
241,AOR,['101'],"+(int,int):/(int,int):org.joda.time.Partial@without:504:index + 1 |==> index / 1
"
242,AOR,['101'],"-(int,int):%(int,int):org.joda.time.Partial@without:504:newTypes.length - index |==> newTypes.length % index
"
243,AOR,['101'],"-(int,int):*(int,int):org.joda.time.Partial@without:504:newTypes.length - index |==> newTypes.length * index
"
244,AOR,['101'],"-(int,int):+(int,int):org.joda.time.Partial@without:504:newTypes.length - index |==> newTypes.length + index
"
245,AOR,['101'],"-(int,int):/(int,int):org.joda.time.Partial@without:504:newTypes.length - index |==> newTypes.length / index
"
246,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@without:504:System.arraycopy(iTypes, index + 1, newTypes, index, newTypes.length - index) |==> <NO-OP>
"
247,LVR,['101'],"0:POS:org.joda.time.Partial@without:505:0 |==> 1
"
248,LVR,['101'],"0:NEG:org.joda.time.Partial@without:505:0 |==> -1
"
249,LVR,['101'],"0:POS:org.joda.time.Partial@without:505:0 |==> 1
"
250,LVR,['101'],"0:NEG:org.joda.time.Partial@without:505:0 |==> -1
"
251,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@without:505:System.arraycopy(iValues, 0, newValues, 0, index) |==> <NO-OP>
"
252,LVR,['101'],"POS:0:org.joda.time.Partial@without:506:1 |==> 0
"
253,LVR,['101'],"POS:NEG:org.joda.time.Partial@without:506:1 |==> -1
"
254,AOR,['101'],"+(int,int):%(int,int):org.joda.time.Partial@without:506:index + 1 |==> index % 1
"
255,AOR,['101'],"+(int,int):*(int,int):org.joda.time.Partial@without:506:index + 1 |==> index * 1
"
256,AOR,['101'],"+(int,int):-(int,int):org.joda.time.Partial@without:506:index + 1 |==> index - 1
"
257,AOR,['101'],"+(int,int):/(int,int):org.joda.time.Partial@without:506:index + 1 |==> index / 1
"
258,AOR,['101'],"-(int,int):%(int,int):org.joda.time.Partial@without:506:newValues.length - index |==> newValues.length % index
"
259,AOR,['101'],"-(int,int):*(int,int):org.joda.time.Partial@without:506:newValues.length - index |==> newValues.length * index
"
260,AOR,['101'],"-(int,int):+(int,int):org.joda.time.Partial@without:506:newValues.length - index |==> newValues.length + index
"
261,AOR,['101'],"-(int,int):/(int,int):org.joda.time.Partial@without:506:newValues.length - index |==> newValues.length / index
"
262,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@without:506:System.arraycopy(iValues, index + 1, newValues, index, newValues.length - index) |==> <NO-OP>
"
263,STD,[],"<CALL>:<NO-OP>:org.joda.time.Partial@without:508:iChronology.validate(newPartial, newValues) |==> <NO-OP>
"
264,ROR,[],"==(int,int):<=(int,int):org.joda.time.Partial@withField:531:value == getValue(index) |==> value <= getValue(index)
"
265,ROR,['101'],"==(int,int):>=(int,int):org.joda.time.Partial@withField:531:value == getValue(index) |==> value >= getValue(index)
"
266,ROR,['101'],"==(int,int):FALSE(int,int):org.joda.time.Partial@withField:531:value == getValue(index) |==> false
"
267,LVR,['101'],"0:POS:org.joda.time.Partial@withFieldAdded:555:0 |==> 1
"
268,LVR,['101'],"0:NEG:org.joda.time.Partial@withFieldAdded:555:0 |==> -1
"
269,ROR,"['101', '116']","==(int,int):<=(int,int):org.joda.time.Partial@withFieldAdded:555:amount == 0 |==> amount <= 0
"
270,ROR,"['101', '116']","==(int,int):>=(int,int):org.joda.time.Partial@withFieldAdded:555:amount == 0 |==> amount >= 0
"
271,ROR,['101'],"==(int,int):FALSE(int,int):org.joda.time.Partial@withFieldAdded:555:amount == 0 |==> false
"
272,LVR,['101'],"0:POS:org.joda.time.Partial@withFieldAddWrapped:579:0 |==> 1
"
273,LVR,['101'],"0:NEG:org.joda.time.Partial@withFieldAddWrapped:579:0 |==> -1
"
274,ROR,['101'],"==(int,int):<=(int,int):org.joda.time.Partial@withFieldAddWrapped:579:amount == 0 |==> amount <= 0
"
275,ROR,['101'],"==(int,int):>=(int,int):org.joda.time.Partial@withFieldAddWrapped:579:amount == 0 |==> amount >= 0
"
276,ROR,['101'],"==(int,int):FALSE(int,int):org.joda.time.Partial@withFieldAddWrapped:579:amount == 0 |==> false
"
277,ROR,['101'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@withPeriodAdded:603:period == null |==> false
"
278,LVR,['101'],"0:POS:org.joda.time.Partial@withPeriodAdded:603:0 |==> 1
"
279,LVR,['101'],"0:NEG:org.joda.time.Partial@withPeriodAdded:603:0 |==> -1
"
280,ROR,['101'],"==(int,int):<=(int,int):org.joda.time.Partial@withPeriodAdded:603:scalar == 0 |==> scalar <= 0
"
281,ROR,['101'],"==(int,int):>=(int,int):org.joda.time.Partial@withPeriodAdded:603:scalar == 0 |==> scalar >= 0
"
282,ROR,[],"==(int,int):FALSE(int,int):org.joda.time.Partial@withPeriodAdded:603:scalar == 0 |==> false
"
283,COR,[],"||(boolean,boolean):!=(boolean,boolean):org.joda.time.Partial@withPeriodAdded:603:period == null || scalar == 0 |==> period == null != (scalar == 0)
"
284,COR,[],"||(boolean,boolean):LHS(boolean,boolean):org.joda.time.Partial@withPeriodAdded:603:period == null || scalar == 0 |==> period == null
"
285,COR,['101'],"||(boolean,boolean):RHS(boolean,boolean):org.joda.time.Partial@withPeriodAdded:603:period == null || scalar == 0 |==> scalar == 0
"
286,COR,['101'],"||(boolean,boolean):TRUE(boolean,boolean):org.joda.time.Partial@withPeriodAdded:603:period == null || scalar == 0 |==> true
"
287,LVR,[],"0:POS:org.joda.time.Partial@withPeriodAdded:607:0 |==> 1
"
288,LVR,['101'],"0:NEG:org.joda.time.Partial@withPeriodAdded:607:0 |==> -1
"
289,ROR,[],"<(int,int):!=(int,int):org.joda.time.Partial@withPeriodAdded:607:i < period.size() |==> i != period.size()
"
290,ROR,['101'],"<(int,int):<=(int,int):org.joda.time.Partial@withPeriodAdded:607:i < period.size() |==> i <= period.size()
"
291,ROR,['101'],"<(int,int):FALSE(int,int):org.joda.time.Partial@withPeriodAdded:607:i < period.size() |==> false
"
292,LVR,['101'],"0:POS:org.joda.time.Partial@withPeriodAdded:610:0 |==> 1
"
293,LVR,['101'],"0:NEG:org.joda.time.Partial@withPeriodAdded:610:0 |==> -1
"
294,ROR,['101'],">=(int,int):==(int,int):org.joda.time.Partial@withPeriodAdded:610:index >= 0 |==> index == 0
"
295,ROR,['101'],">=(int,int):>(int,int):org.joda.time.Partial@withPeriodAdded:610:index >= 0 |==> index > 0
"
296,ROR,['101'],">=(int,int):TRUE(int,int):org.joda.time.Partial@withPeriodAdded:610:index >= 0 |==> true
"
297,LVR,['101'],"POS:0:org.joda.time.Partial@plus:628:1 |==> 0
"
298,LVR,['101'],"POS:NEG:org.joda.time.Partial@plus:628:1 |==> -1
"
299,LVR,['101'],"NEG:0:org.joda.time.Partial@minus:641:-1 |==> 0
"
300,LVR,['101'],"NEG:POS:org.joda.time.Partial@minus:641:-1 |==> 1
"
301,LVR,[],"0:POS:org.joda.time.Partial@isMatch:672:0 |==> 1
"
302,LVR,['3'],"0:NEG:org.joda.time.Partial@isMatch:672:0 |==> -1
"
303,ROR,[],"<(int,int):!=(int,int):org.joda.time.Partial@isMatch:672:i < iTypes.length |==> i != iTypes.length
"
304,ROR,['3'],"<(int,int):<=(int,int):org.joda.time.Partial@isMatch:672:i < iTypes.length |==> i <= iTypes.length
"
305,ROR,['3'],"<(int,int):FALSE(int,int):org.joda.time.Partial@isMatch:672:i < iTypes.length |==> false
"
306,ROR,['3'],"!=(int,int):<(int,int):org.joda.time.Partial@isMatch:674:value != iValues[i] |==> value < iValues[i]
"
307,ROR,['3'],"!=(int,int):>(int,int):org.joda.time.Partial@isMatch:674:value != iValues[i] |==> value > iValues[i]
"
308,ROR,['3'],"!=(int,int):TRUE(int,int):org.joda.time.Partial@isMatch:674:value != iValues[i] |==> true
"
309,LVR,['3'],"FALSE:TRUE:org.joda.time.Partial@isMatch:675:false |==> true
"
310,LVR,['3'],"TRUE:FALSE:org.joda.time.Partial@isMatch:678:true |==> false
"
311,ROR,['3'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@isMatch:694:partial == null |==> false
"
312,LVR,[],"0:POS:org.joda.time.Partial@isMatch:697:0 |==> 1
"
313,LVR,['3'],"0:NEG:org.joda.time.Partial@isMatch:697:0 |==> -1
"
314,ROR,[],"<(int,int):!=(int,int):org.joda.time.Partial@isMatch:697:i < iTypes.length |==> i != iTypes.length
"
315,ROR,['3'],"<(int,int):<=(int,int):org.joda.time.Partial@isMatch:697:i < iTypes.length |==> i <= iTypes.length
"
316,ROR,['3'],"<(int,int):FALSE(int,int):org.joda.time.Partial@isMatch:697:i < iTypes.length |==> false
"
317,ROR,['3'],"!=(int,int):<(int,int):org.joda.time.Partial@isMatch:699:value != iValues[i] |==> value < iValues[i]
"
318,ROR,['3'],"!=(int,int):>(int,int):org.joda.time.Partial@isMatch:699:value != iValues[i] |==> value > iValues[i]
"
319,ROR,['3'],"!=(int,int):TRUE(int,int):org.joda.time.Partial@isMatch:699:value != iValues[i] |==> true
"
320,LVR,['3'],"FALSE:TRUE:org.joda.time.Partial@isMatch:700:false |==> true
"
321,LVR,['3'],"TRUE:FALSE:org.joda.time.Partial@isMatch:703:true |==> false
"
322,ROR,['101'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@getFormatter:720:f == null |==> false
"
323,LVR,['101'],"0:POS:org.joda.time.Partial@getFormatter:721:0 |==> 1
"
324,LVR,[],"0:NEG:org.joda.time.Partial@getFormatter:721:0 |==> -1
"
325,ROR,[],"==(int,int):<=(int,int):org.joda.time.Partial@getFormatter:721:size() == 0 |==> size() <= 0
"
326,ROR,['101'],"==(int,int):>=(int,int):org.joda.time.Partial@getFormatter:721:size() == 0 |==> size() >= 0
"
327,ROR,[],"==(int,int):FALSE(int,int):org.joda.time.Partial@getFormatter:721:size() == 0 |==> false
"
328,LVR,['101'],"POS:0:org.joda.time.Partial@getFormatter:724:2 |==> 0
"
329,LVR,['101'],"POS:NEG:org.joda.time.Partial@getFormatter:724:2 |==> -2
"
330,LVR,['101'],"0:POS:org.joda.time.Partial@getFormatter:727:0 |==> 1
"
331,LVR,['101'],"0:NEG:org.joda.time.Partial@getFormatter:727:0 |==> -1
"
332,LVR,['101'],"TRUE:FALSE:org.joda.time.Partial@getFormatter:727:true |==> false
"
333,LVR,['101'],"FALSE:TRUE:org.joda.time.Partial@getFormatter:727:false |==> true
"
334,LVR,['101'],"0:POS:org.joda.time.Partial@getFormatter:728:0 |==> 1
"
335,LVR,['101'],"0:NEG:org.joda.time.Partial@getFormatter:728:0 |==> -1
"
336,ROR,[],"==(int,int):<=(int,int):org.joda.time.Partial@getFormatter:728:list.size() == 0 |==> list.size() <= 0
"
337,ROR,['101'],"==(int,int):>=(int,int):org.joda.time.Partial@getFormatter:728:list.size() == 0 |==> list.size() >= 0
"
338,ROR,['101'],"==(int,int):FALSE(int,int):org.joda.time.Partial@getFormatter:728:list.size() == 0 |==> false
"
339,LVR,['101'],"POS:0:org.joda.time.Partial@getFormatter:729:1 |==> 0
"
340,LVR,['101'],"POS:NEG:org.joda.time.Partial@getFormatter:729:1 |==> -1
"
341,LVR,['101'],"0:POS:org.joda.time.Partial@getFormatter:729:0 |==> 1
"
342,LVR,['101'],"0:NEG:org.joda.time.Partial@getFormatter:729:0 |==> -1
"
343,LVR,['101'],"0:POS:org.joda.time.Partial@getFormatter:736:0 |==> 1
"
344,LVR,['101'],"0:NEG:org.joda.time.Partial@getFormatter:736:0 |==> -1
"
345,ROR,['101'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@toString:753:f == null |==> false
"
346,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@toString:754:getFormatter() |==> <NO-OP>
"
347,ROR,['101'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@toString:756:f == null |==> false
"
348,LVR,['101'],"POS:0:org.joda.time.Partial@toString:760:1 |==> 0
"
349,LVR,['101'],"POS:NEG:org.joda.time.Partial@toString:760:1 |==> -1
"
350,ROR,['101'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@toString:761:f1 == null |==> false
"
351,LVR,[],"POS:0:org.joda.time.Partial@toStringList:778:20 |==> 0
"
352,LVR,['101'],"POS:NEG:org.joda.time.Partial@toStringList:778:20 |==> -20
"
353,AOR,['101'],"*(int,int):%(int,int):org.joda.time.Partial@toStringList:778:20 * size |==> 20 % size
"
354,AOR,[],"*(int,int):+(int,int):org.joda.time.Partial@toStringList:778:20 * size |==> 20 + size
"
355,AOR,[],"*(int,int):-(int,int):org.joda.time.Partial@toStringList:778:20 * size |==> 20 - size
"
356,AOR,['101'],"*(int,int):/(int,int):org.joda.time.Partial@toStringList:778:20 * size |==> 20 / size
"
357,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@toStringList:779:buf.append('[') |==> <NO-OP>
"
358,LVR,['101'],"0:POS:org.joda.time.Partial@toStringList:780:0 |==> 1
"
359,LVR,['101'],"0:NEG:org.joda.time.Partial@toStringList:780:0 |==> -1
"
360,ROR,[],"<(int,int):!=(int,int):org.joda.time.Partial@toStringList:780:i < size |==> i != size
"
361,ROR,['101'],"<(int,int):<=(int,int):org.joda.time.Partial@toStringList:780:i < size |==> i <= size
"
362,ROR,['101'],"<(int,int):FALSE(int,int):org.joda.time.Partial@toStringList:780:i < size |==> false
"
363,LVR,['101'],"0:POS:org.joda.time.Partial@toStringList:781:0 |==> 1
"
364,LVR,['101'],"0:NEG:org.joda.time.Partial@toStringList:781:0 |==> -1
"
365,ROR,[],">(int,int):!=(int,int):org.joda.time.Partial@toStringList:781:i > 0 |==> i != 0
"
366,ROR,['101'],">(int,int):>=(int,int):org.joda.time.Partial@toStringList:781:i > 0 |==> i >= 0
"
367,ROR,['101'],">(int,int):FALSE(int,int):org.joda.time.Partial@toStringList:781:i > 0 |==> false
"
368,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@toStringList:782:buf.append(',').append(' ') |==> <NO-OP>
"
369,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@toStringList:784:buf.append(iTypes[i].getName()) |==> <NO-OP>
"
370,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@toStringList:785:buf.append('=') |==> <NO-OP>
"
371,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@toStringList:786:buf.append(iValues[i]) |==> <NO-OP>
"
372,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@toStringList:788:buf.append(']') |==> <NO-OP>
"
373,ROR,['101'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@toString:800:pattern == null |==> false
"
374,ROR,['101'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@toString:815:pattern == null |==> false
"
375,ROR,"['3', '6', '7', '8', '10', '11', '12', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123']","==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.field.UnsupportedDurationField@getInstance:49:cCache == null |==> false
"
376,LVR,[],"POS:0:org.joda.time.field.UnsupportedDurationField@getInstance:50:7 |==> 0
"
377,LVR,"['3', '6', '7', '8', '10', '11', '12', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123']","POS:NEG:org.joda.time.field.UnsupportedDurationField@getInstance:50:7 |==> -7
"
378,ROR,"['20', '23', '29', '30', '50', '98', '101', '109', '111', '116', '119', '120', '121', '122', '123']","==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.field.UnsupportedDurationField@getInstance:55:field == null |==> false
"
379,STD,"['30', '111']","<CALL>:<NO-OP>:org.joda.time.field.UnsupportedDurationField@getInstance:57:cCache.put(type, field) |==> <NO-OP>
"
380,LVR,"['20', '23', '29', '96', '98', '101', '105', '109', '116', '119', '120', '121', '122', '123']","FALSE:TRUE:org.joda.time.field.UnsupportedDurationField@isSupported:92:false |==> true
"
381,LVR,[],"TRUE:FALSE:org.joda.time.field.UnsupportedDurationField@isPrecise:101:true |==> false
"
382,LVR,[],"0:POS:org.joda.time.field.UnsupportedDurationField@getUnitMillis:218:0 |==> 1
"
383,LVR,[],"0:NEG:org.joda.time.field.UnsupportedDurationField@getUnitMillis:218:0 |==> -1
"
384,LVR,[],"0:POS:org.joda.time.field.UnsupportedDurationField@compareTo:227:0 |==> 1
"
385,LVR,"['20', '101']","0:NEG:org.joda.time.field.UnsupportedDurationField@compareTo:227:0 |==> -1
"
386,ROR,[],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.field.UnsupportedDurationField@equals:238:this == obj |==> false
"
387,LVR,"['23', '29', '43', '50', '92', '102', '116', '119', '120', '121', '122', '123']","TRUE:FALSE:org.joda.time.field.UnsupportedDurationField@equals:239:true |==> false
"
388,ROR,[],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.field.UnsupportedDurationField@equals:242:other.getName() == null |==> false
"
389,ROR,[],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.field.UnsupportedDurationField@equals:243:getName() == null |==> false
"
390,LVR,['101'],"FALSE:TRUE:org.joda.time.field.UnsupportedDurationField@equals:247:false |==> true
"
